case,date,cve,in_kev,kev_date_added,kev_due_date,known_ransomware_use,vulnerability_name,vendor_project,product
2026-05-23_SonicWall-Gen6-MFA-Bypass-CVE-2024-12802,2026-05-23,CVE-2024-40766,yes,2024-09-09,2024-09-30,Known,SonicWall SonicOS Improper Access Control Vulnerability,SonicWall,SonicOS
2026-05-23_SonicWall-Gen6-MFA-Bypass-CVE-2024-12802,2026-05-23,CVE-2026-9082,yes,2026-05-22,2026-05-27,Unknown,Drupal Core SQL Injection Vulnerability,Drupal,Core
2026-05-24_OperationSaffron-FirstVPN-Takedown,2026-05-24,CVE-2026-20182,yes,2026-05-14,2026-05-17,Unknown,Cisco Catalyst SD-WAN Controller Authentication Bypass Vulnerability,Cisco,Catalyst SD-WAN
2026-05-25_UAC0057-OYSTERFRESH-Prometheus-Ukraine,2026-05-25,CVE-2024-42009,yes,2025-06-09,2025-06-30,Unknown,RoundCube Webmail Cross-Site Scripting Vulnerability,Roundcube,Webmail
2026-05-25_UAC0057-OYSTERFRESH-Prometheus-Ukraine,2026-05-25,CVE-2025-8088,yes,2025-08-12,2025-09-02,Unknown,RARLAB WinRAR Path Traversal Vulnerability,RARLAB,WinRAR
2026-05-27_BlackFile-UNC6671-CordialSpider-SaaS-Extortion,2026-05-27,CVE-2026-25592,no,,,,,,
2026-05-27_BlackFile-UNC6671-CordialSpider-SaaS-Extortion,2026-05-27,CVE-2026-26030,no,,,,,,
2026-05-28_TrapDoor-CrossEcosystem-Crypto-AI-Stealer,2026-05-28,CVE-2026-27771,no,,,,,,
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2020-17103,no,,,,,,
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2024-12802,no,,,,,,
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2026-33825,yes,2026-04-22,2026-05-06,Unknown,Microsoft Defender Insufficient Granularity of Access Control Vulnerability,Microsoft,Defender
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2026-41091,yes,2026-05-20,2026-06-03,Unknown,Microsoft Defender Link Following Vulnerability,Microsoft,Defender
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2026-45498,yes,2026-05-20,2026-06-03,Unknown,Microsoft Defender Denial of Service Vulnerability,Microsoft,Defender
2026-05-29_MiniPlasma-CVE-2020-17103-Silent-Regression-NightmareEclipse,2026-05-29,CVE-2026-45585,no,,,,,,
2026-06-02_Aur0ra-NoRename-InPlace-Ransomware,2026-06-02,CVE-2024-40766,yes,2024-09-09,2024-09-30,Known,SonicWall SonicOS Improper Access Control Vulnerability,SonicWall,SonicOS
2026-06-04_Kirki-CVE-2026-8206-WP-AccountTakeover,2026-06-04,CVE-2026-41089,no,,,,,,
2026-06-04_Kirki-CVE-2026-8206-WP-AccountTakeover,2026-06-04,CVE-2026-8206,no,,,,,,
2026-06-05_Netlogon-CVE-2026-41089-DC-RCE,2026-06-05,CVE-2020-1472,yes,2021-11-03,2022-05-03,Known,Microsoft Netlogon Privilege Escalation Vulnerability,Microsoft,Netlogon
2026-06-05_Netlogon-CVE-2026-41089-DC-RCE,2026-06-05,CVE-2026-41089,no,,,,,,
2026-06-05_Netlogon-CVE-2026-41089-DC-RCE,2026-06-05,CVE-2026-8206,no,,,,,,
2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,2026-06-06,CVE-2020-17103,no,,,,,,
2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,2026-06-06,CVE-2025-5517,no,,,,,,
2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,2026-06-06,CVE-2026-27772,no,,,,,,
2026-06-06_OCPP-EVCharging-ABB-TerraAC-CVE-2025-5517,2026-06-06,CVE-2026-41089,no,,,,,,
2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,2026-06-07,CVE-2020-10713,no,,,,,,
2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,2026-06-07,CVE-2023-24932,no,,,,,,
2026-06-07_SecureBoot-2011-Cert-Expiry-Bootkit-Exposure,2026-06-07,CVE-2024-7344,no,,,,,,
